序号,学校名,位置,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
1,成都外国语学校,四川省 成都市 高新区,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区
2,厦门外国语学校,福建省 厦门市 思明区,省重点,公办,中学,（初中部）厦门市思明区湖滨北路88号/（高中部）海沧区嵩屿路89号,0592-5110967（8063273）,福建省,厦门市,思明区
3,郑州外国语学校,南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
4,南京外国语学校,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
5,武汉外国语学校,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
6,深圳外国语学校初中部,广东省 深圳市 福田区,省重点,公办,中学,广东省深圳市福田区红荔路2005号,0755-83354153 0755-25282036,广东省,深圳市,福田区
6,深圳外国语学校（高中部）,广东省 深圳市 盐田区,省重点,公办,中学,深圳市盐田区盐田路1东门,0755-25282089,广东省,深圳市,盐田区
7,杭州外国语学校,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市小和山高教园299号,0571-85289110,浙江省,杭州市,西湖区
8,石家庄第四十三中学（石家庄外国语学校）,河北省 石家庄市 裕华区,省重点,公办,中学,河北省石家庄市育才街318号,"0311-85802393,0311-86573520",河北省,石家庄市,裕华区
9,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
10,济南外国语学校,山东省 济南市 天桥区,市重点,公办,中学,济南市天桥区师范路23号,0531-68675926,山东省,济南市,天桥区
11,太原市外国语学校,山西省 太原市 万柏林区,省重点,公办,中学,山西省太原市漪汾苑槐荫苑17号,0351-5631258,山西省,太原市,万柏林区
12,重庆外国语学校,重庆市 九龙坡区,市重点,公办,中学,重庆市高新区石桥铺红育坡1号（A区）重庆市九龙园区华龙大道10号（B区）,023-68612896,重庆市,重庆市,九龙坡区
13,南昌市外国语学校,江西省 南昌市 西湖区,省重点,公办,中学,江西省南昌市西湖区桃苑中路126号,0791 86583677 0791 86583677,江西省,南昌市,西湖区
14,天津外国语大学附属滨海外国语学校,天津市 河北区,市重点,公办,中学,天津市河北区南口路11号,022-26353573,天津市,天津市,河北区
15,长春外国语学校,吉林省 长春市,省重点,公办,中学,吉林省长春市红旗街1946号,0431-85936780,吉林省,长春市,NaN
16,广东外语外贸大学附属外国语学校（广外附校）,广东省 广州市 增城区,市重点,民办,中学,广州增城新塘永和新新公路15号（金地荔湖城楼盘内）,020-32983488 05810-32983498,广东省,广州市,增城区
