成员名称,成员类型
越西职业技术学校,中职学校
马边彝族自治县碧桂园职业中学,中职学校
沐川县中等职业学校,中职学校
乐山市竹根职业中专学校,中职学校
四川省井研县高级职业中学,中职学校
四川省峨眉山市职业技术学校,中职学校
乐山市计算机学校,中职学校
四川省技术监督学校,中职学校
四川省犍为职业高级中学,中职学校
湖南理工职业技术学院,高职学校
乐山职业技术学院,高职学校
乐山师范学院,本科学校
徐州工程学院,本科学校
四川永祥多晶硅有限公司,成员企业
乐山新天源太阳能科技有限公司,成员企业
四川瑞能硅材料有限公司,成员企业
四川科立鑫新材料有限公司,成员企业
乐山航大星光太阳能热水器制造有限公司,成员企业
四川省乐山市福华农科投资集团有限责任公司,成员企业
通威太阳能（成都）有限公司,成员企业
浙江晶科能源有限公司,成员企业
浙江正泰新能源开发有限公司,成员企业
北京木联能软件股份有限公司,成员企业
上海安轩自动化科技有限公司,成员企业
陕西致信恒源能源科技有限公司,成员企业
广东永光新能源设计咨询有限公司,成员企业
四川渔光物联技术有限公司,成员企业
乐山市教育局,政府部门
乐山市发展和改革委员会,政府部门
乐山市经济和信息化委员会,政府部门
乐山市科学技术局,政府部门
乐山市人力资源和社会保障局,政府部门
乐山市市中区教育局,政府部门
中共乐山市委组织部人才办公室,政府部门
乐山高新技术产业开发区管理委员会,政府部门
乐山市科学技术协会,行业组织
中国有色金属工业协会,行业组织
化学工业出版社,行业组织
乐山市太阳能研究院,研究机构
中国科学院光电技术研究所,研究机构
顺德中山大学太阳能研究院,研究机构
乐山市产品质量监督检验所,其他组织
