序号,学校名称,备注
1,清华大学,
2,北京大学,
3,浙江大学,
4,上海交通大学,
5,复旦大学,
6,南京大学,
7,华中科技大学,
8,武汉大学,
9,西安交通大学,
10,四川大学,
11,中山大学,
12,同济大学,
13,东南大学,
14,北京师范大学,
15,中国人民大学,
16,南开大学,
17,天津大学,
18,山东大学,
19,中南大学,
20,华南理工大学,
21,厦门大学,
22,吉林大学,
23,华东师范大学,
24,中国农业大学,
25,电子科技大学,
26,大连理工大学,
27,湖南大学,
28,上海财经大学,
29,重庆大学,
30,北京科技大学,
31,兰州大学,
32,东北大学,
33,北京交通大学,
34,西安电子科技大学,
35,华中农业大学,
36,东北师范大学,
37,中央财经大学,
38,华东理工大学,
39,中国政法大学,
40,对外经济贸易大学,
41,中国石油大学（北京）,
42,南京农业大学,
43,华中师范大学,
44,西南交通大学,
45,中国矿业大学,
46,武汉理工大学,
47,中国海洋大学,
48,中国地质大学（武汉）,
49,江南大学,
50,河海大学,
51,北京邮电大学,
52,北京化工大学,
53,中国石油大学（华东）,
54,中南财经政法大学,
55,西南大学,
56,中国地质大学（北京）,
57,陕西师范大学,
58,西南财经大学,
59,西北农林科技大学,
60,华北电力大学,
61,中国矿业大学（北京）,
62,东华大学,
63,北京外国语大学,
64,北京林业大学,
65,合肥工业大学,
66,北京中医药大学,
67,长安大学,
68,中国传媒大学,
69,上海外国语大学,
70,中国药科大学,
71,东北林业大学,
72,北京语言大学,
73,山东大学（威海）,
74,东北大学秦皇岛分校,
75,华北电力大学保定校区,
76,中央戏剧学院,
77,中央美术学院,
78,中央音乐学院,
79,中国石油大学（北京）克拉玛依校区,
80,中国人民大学（苏州校区）,
81,电子科技大学格拉斯哥学院,
82,国际关系学院,人工增补
83,国家开放大学,人工增补
