序号,学校名称,加入985工程时间,985入选批次
1,清华大学,1998年5月,首批9所（C9联盟）
2,北京大学,1998年5月,首批9所（C9联盟）
3,中国科学技术大学,1999年7月,首批9所（C9联盟）
4,南京大学,1999年7月,首批9所（C9联盟）
5,复旦大学,1999年7月,首批9所（C9联盟）
6,上海交通大学,1999年7月,首批9所（C9联盟）
7,西安交通大学,1999年9月,首批9所（C9联盟）
8,浙江大学,1999年11月,首批9所（C9联盟）
9,哈尔滨工业大学,1999年11月,首批9所（C9联盟）
10,北京理工大学,2000年9月,首期第二批共26所
11,南开大学,2000年12月,首期第二批共26所
12,天津大学,2000年12月,首期第二批共26所
13,东南大学,2001年2月,首期第二批共26所
14,武汉大学,2001年2月,首期第二批共26所
15,华中科技大学,2001年2月,首期第二批共26所
16,吉林大学,2001年2月,首期第二批共26所
17,厦门大学,2001年2月,首期第二批共26所
18,山东大学,2001年2月,首期第二批共26所
19,中国海洋大学,2001年2月,首期第二批共26所
20,湖南大学,2001年2月,首期第二批共26所
21,中南大学,2001年2月,首期第二批共26所
22,大连理工大学,2001年8月,首期第二批共26所
23,北京航空航天大学,2001年9月,首期第二批共26所
24,重庆大学,2001年9月,首期第二批共26所
25,四川大学,2001年9月,首期第二批共26所
26,电子科技大学,2001年9月,首期第二批共26所
27,中山大学,2001年10月,首期第二批共26所
28,华南理工大学,2001年10月,首期第二批共26所
29,兰州大学,2001年12月,首期第二批共26所
30,西北工业大学,2002年1月,首期第二批共26所
31,东北大学,2002年1月,首期第二批共26所
32,同济大学,2002年6月,首期第二批共26所
33,北京师范大学,2002年8月,首期第二批共26所
34,中国人民大学,2003年9月,首期第二批共26所
35,中国农业大学,2004年9月,首期第二批共26所
36,中央民族大学,2004年,985二期
37,西北农林科技大学,2004年6月,985二期
38,华东师范大学,2006年9月,985二期
39,国防科技大学,2006年,985二期
